UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,RequesterKey,Name,Rank,DODAAC,UIC,UnitName,Role,Phone,Email,CreatedDate,LookupKey
F5BA2CE7BBD005CE17A68B0AB87F18C1,NT000077,,07/12/2010 11:07:22,07/12/2010 11:07:22,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WK4GJR~t.bledsoe,Terrence Bledsoe,2LT,WK4GJR,W6VDAA,10th Mountain Division Sustainment Brigade,Unit Commander,(586) 555-3400,terrence.bledsoe.mil@example.mil,07/12/2010,WK4GJR~T.BLEDSOE
C062200D28892BBEB241632A0C0635E2,NT000078,,05/05/2016 15:20:35,05/05/2016 15:20:35,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WJMJXA~l.hollingsworth,Lucille Hollingsworth,SSG,WJMJXA,W4RSJA,35th Air Defense Artillery Brigade,Executive Officer,(315) 555-1869,lucille.hollingsworth.mil@example.mil,05/05/2016,WJMJXA~L.HOLLINGSWORTH
8840DE1DFD8B84DEA36FED6217EE8F61,NT000079,,03/13/2011 15:19:08,03/13/2011 15:19:08,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,WB8QWH~r.yarbrough,Roderick Yarbrough,SPC,WB8QWH,W3TWRA,81st Readiness Division (Army Reserve),Protocol Officer,(931) 555-9268,roderick.yarbrough.mil@example.mil,03/13/2011,WB8QWH~R.YARBROUGH
8FA1F8A9F969B4D63DDF9A9D0EF28077,NT000080,,10/01/2015 09:22:45,10/01/2015 09:22:45,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,WEKX1S~d.sandoval,Darnell Sandoval,MSG,WEKX1S,W9LMPA,"3rd Brigade Combat Team, 82nd Airborne Division",Executive Officer,(315) 555-6566,darnell.sandoval.mil@example.mil,10/01/2015,WEKX1S~D.SANDOVAL
02E6B29C97674F85D9C09FF45BF25AE1,NT000081,,11/06/2020 08:21:29,11/06/2020 08:21:29,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,WEKX1S~l.lockridge,Lucille Lockridge,SGT,WEKX1S,W9LMPA,"3rd Brigade Combat Team, 82nd Airborne Division",Executive Officer,(910) 555-5442,lucille.lockridge.mil@example.mil,11/06/2020,WEKX1S~L.LOCKRIDGE
22501D50B3F53F1BDFC75C07086E7157,NT000082,,03/17/2020 12:03:24,03/17/2020 12:03:24,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,WK4GJR~b.whitlock,Betty Whitlock,1LT,WK4GJR,W6VDAA,10th Mountain Division Sustainment Brigade,Other,(254) 555-5091,betty.whitlock.mil@example.mil,03/17/2020,WK4GJR~B.WHITLOCK
AED78B29A100D3680402EACE07960D6F,NT000083,,10/20/2013 17:39:24,10/20/2013 17:39:24,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,WFTYWM~t.underhillvoss,Theresa Underhill-Voss,PFC,WFTYWM,WCE7AA,101st Combat Aviation Brigade,Executive Officer,(586) 555-6861,theresa.underhillvoss.mil@example.mil,10/20/2013,WFTYWM~T.UNDERHILLVOSS
CC2AF018A55FE8DF744B08B4A8EB9110,NT000084,,07/12/2011 07:14:11,07/12/2011 07:14:11,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,W8ND2A~m.pemberton,Marcus Pemberton,2LT,W8ND2A,WAAKAA,"1st Battalion, 3rd Infantry Regiment (The Old Guard)",S4 / Supply,(912) 555-5135,marcus.pemberton.mil@example.mil,07/12/2011,W8ND2A~M.PEMBERTON
343A4300DF846F52CB8D7C63CE37D64A,NT000085,,01/01/2026 16:25:33,01/01/2026 16:25:33,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,W7PN3T~m.prentiss,Marcus Prentiss,SGM,W7PN3T,WPUXAA,278th Armored Cavalry Regiment (Tennessee ARNG),Executive Officer,(254) 555-6831,marcus.prentiss.mil@example.mil,01/01/2026,W7PN3T~M.PRENTISS
0CA452276EB1E5C7D85D113C4C8F665D,NT000086,,11/10/2019 12:19:18,11/10/2019 12:19:18,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,WB8QWH~r.ruggiero,Rosalind Ruggiero,LTC,WB8QWH,W3TWRA,81st Readiness Division (Army Reserve),Other,(586) 555-1359,rosalind.ruggiero.mil@example.mil,11/10/2019,WB8QWH~R.RUGGIERO
