UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,ParentCaseNumber,ParentUNID,NoteType,ContactName,ContactPhone,Body,Summary,FollowUpDate,FollowUpDone,NoteAuthor,NoteDate,DocReaders,DocAuthors
9C3136992D4443ADD7ED9F41ADD45223,NT000326,E452F00D006B912B2EBB16A0E835E586,08/23/2026 12:28:49,08/23/2026 12:28:49,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,,VMA-2026-000008,E452F00D006B912B2EBB16A0E835E586,HRC Query,,,Eligibility question sent to HRC Awards and Decorations Branch; awaiting reply.,Eligibility question sent to HRC,09/02/2026,,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,08/23/2026 12:28:49,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Ignatius Pardo/OU=CHPSID/O=TACOM;[Admin]
0B2419779A86DFB3B16D8C59EF13D844,NT000327,19573EEC7D22839F8DC757186A464C4B,03/29/2022 14:00:28,03/29/2022 14:00:28,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,VMA-2022-000001,19573EEC7D22839F8DC757186A464C4B,Address Correction,,,Ship-to updated per requester; USPS verified.,Ship-to updated,,Yes,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,03/29/2022 14:00:28,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM;[Admin]
F3CDE1B672888AC72A9E65D761303FFB,NT000328,E8F9371FEF242389D248A76CACCC7180,08/01/2021 08:22:48,08/01/2021 08:22:48,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,,VMA-2021-000002,E8F9371FEF242389D248A76CACCC7180,QC Rework,,,QC found engraving misspelling; job returned to engraver.,Engraving rework requested,,Yes,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,08/01/2021 08:22:48,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,CN=Ignatius Pardo/OU=CHPSID/O=TACOM;[Admin]
2E9986F929C5AB35C4795330D5164566,NT000329,F635D98F8A39C668F07A1B1CE86A9375,11/12/2024 11:45:22,11/12/2024 11:45:22,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,VMA-2024-000001,F635D98F8A39C668F07A1B1CE86A9375,Congressional Inquiry,,,Staffer from the member's district office requested status. Response due in 5 business days.,Congressional interest logged,,Yes,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,11/12/2024 11:45:22,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Ignatius Pardo/OU=CHPSID/O=TACOM,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM;[Admin]
45F704C05ECD11EB620E2FB6A7183557,NT000330,7F09098857523C0DDC01E862CF27AE67,07/03/2026 07:18:52,07/03/2026 07:18:52,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,VMA-2026-000010,7F09098857523C0DDC01E862CF27AE67,Phone Call - Outbound,Tyler Prentiss,(253) 555-7483,"Requester called 07/03/2026. Asked: ""Is the Purple Heart, the Bronze Star, or both in this shipment?""
Advised: both lines are on the case, ""Assembly/QC"" as of today.
Requester's comment, verbatim: ""Dad would have been 98 this year, please hurry.""",Left voicemail re: address confirmation,07/06/2026,Yes,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,07/03/2026 07:18:52,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM;[Admin]
9D7B01B2B85AD2FC42CCA845B9E18BE4,NT000331,966F14FE7ED92ABEC36C9A97ABE43ED5,08/15/2024 14:12:31,08/15/2024 14:12:31,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,VMA-2024-000003,966F14FE7ED92ABEC36C9A97ABE43ED5,Congressional Inquiry,,,Staffer from the member's district office requested status. Response due in 5 business days.,Congressional interest logged,08/20/2024,Yes,CN=Ret Hamlin/OU=CHPSID/O=TACOM,08/15/2024 14:12:31,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Ret Hamlin/OU=CHPSID/O=TACOM;[Admin]
990B3DBA52D6D3C88C9861B097788584,NT000332,3B8765C1D897400134EBD1BEA1AEFACD,08/08/2026 07:19:18,08/08/2026 07:19:18,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,VMA-2026-000009,3B8765C1D897400134EBD1BEA1AEFACD,Phone Call - Inbound,Betty Fairweather,(502) 555-4525,Requester called for status. Advised case is in In Engraving; no ETA given.,Requester called for status,,Yes,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,08/08/2026 07:19:18,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM;[Admin]
8683724913B6300497384F129D9BABB7,NT000333,D7D661930EA8B5784F149C4CA4BBCC60,06/26/2016 14:35:01,06/26/2016 14:35:01,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,,VMA-2016-000001,D7D661930EA8B5784F149C4CA4BBCC60,HRC Query,,,Eligibility question sent to HRC Awards and Decorations Branch; awaiting reply.,Eligibility question sent to HRC,06/30/2016,Yes,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,06/26/2016 14:35:01,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Ret Hamlin/OU=CHPSID/O=TACOM,CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM;[Admin]
BDBBD645D77C096A33CAAB2D9E945039,NT000334,643D4DC63020927D486A37A855D130EC,06/27/2026 10:00:57,06/27/2026 10:00:57,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2026-000015,643D4DC63020927D486A37A855D130EC,QC Rework,,,QC found engraving misspelling; job returned to engraver.,Engraving rework requested,,Yes,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,06/27/2026 10:00:57,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM;[Admin]
35BF4C6458AB53A9087DEF6F55AC567F,NT000335,D0767281765E535C2DFF594787C97B8F,08/16/2026 14:31:51,08/16/2026 14:31:51,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,,VMA-2026-000018,D0767281765E535C2DFF594787C97B8F,Address Correction,,,Ship-to updated per requester; USPS verified.,Ship-to updated,08/23/2026,Yes,CN=Ignatius Pardo/OU=CHPSID/O=TACOM,08/16/2026 14:31:51,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,CN=Ignatius Pardo/OU=CHPSID/O=TACOM;[Admin]
9BB4E475ABDFFC5E3CEB08EE08A4499D,NT000336,966F14FE7ED92ABEC36C9A97ABE43ED5,08/17/2024 09:57:00,08/17/2024 09:57:00,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2024-000003,966F14FE7ED92ABEC36C9A97ABE43ED5,Phone Call - Inbound,Lucille Yarbrough,(785) 555-3011,Requester called for status. Advised case is in Closed; no ETA given.,Requester called for status,,Yes,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,08/17/2024 09:57:00,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM;[Admin]
7F6F9E4B7582009A7FDBC7E083374F8B,NT000337,D0767281765E535C2DFF594787C97B8F,05/11/2026 12:12:01,05/11/2026 12:12:01,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,,VMA-2026-000018,D0767281765E535C2DFF594787C97B8F,E-mail,Dolores Quintanilla,,"Requester called 05/11/2026. Asked: ""Is the Purple Heart, the Bronze Star, or both in this shipment?""
Advised: both lines are on the case, ""Shipped"" as of today.
Requester's comment, verbatim: ""Dad would have been 98 this year, please hurry.""",E-mail exchange with requester,,Yes,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM,05/11/2026 12:12:01,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,CN=Oswaldo Ferreira-Lund/OU=CHPSID/O=TACOM;[Admin]
AC3283FC637802AE2D60F45D46898477,NT000338,1C0FCE97BFC062ECE6AC115B330B7C39,10/15/2011 13:30:57,10/15/2011 13:30:57,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,,VMA-2011-000002,1C0FCE97BFC062ECE6AC115B330B7C39,E-mail,Jeffrey Pemberton,,Requester e-mailed asking whether miniatures are included; advised full size only per authorization.,E-mail exchange with requester,10/20/2011,,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM,10/15/2011 13:30:57,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Yolanda Strickland-Oby/OU=CHPSID/O=TACOM;[Admin]
07E3950BAE4597091684CA23C76B6A15,NT000339,1C0FCE97BFC062ECE6AC115B330B7C39,10/12/2011 12:45:27,10/12/2011 12:45:27,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2011-000002,1C0FCE97BFC062ECE6AC115B330B7C39,HRC Query,,,Eligibility question sent to HRC Awards and Decorations Branch; awaiting reply.,Eligibility question sent to HRC,,Yes,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,10/12/2011 12:45:27,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM;[Admin]
787713BAC150FDD898105E14C48AD290,NT000340,0FC278BDDDA9175B4D004411025CD60F,06/24/2026 17:57:19,06/24/2026 17:57:19,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2026-000004,0FC278BDDDA9175B4D004411025CD60F,Phone Call - Inbound,Wanda Ellsworth,(253) 555-2642,Requester called for status. Advised case is in Authorized; no ETA given.,Requester called for status,,Yes,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,06/24/2026 17:57:19,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM;[Admin]
27DD8A92AA882156322D158DA27159D3,NT000341,772738D9DA59875962F935D9B1709535,02/27/2020 16:46:39,02/27/2020 16:46:39,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,,VMA-2020-000002,772738D9DA59875962F935D9B1709535,Phone Call - Outbound,Theresa Ingersoll,(253) 555-4864,Called requester to confirm ship-to address on file; left voicemail.,Left voicemail re: address confirmation,03/01/2020,,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM,02/27/2020 16:46:39,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Renata Vasquez-Holm/OU=CHPSID/O=TACOM;[Admin]
1D729375EADE64448948F6265E5DCE4F,NT000342,E452F00D006B912B2EBB16A0E835E586,08/16/2026 07:59:42,08/16/2026 07:59:42,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,VMA-2026-000008,E452F00D006B912B2EBB16A0E835E586,Address Correction,,,Ship-to updated per requester; USPS verified.,Ship-to updated,,Yes,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,08/16/2026 07:59:42,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM;[Admin]
1EC7DD1D0CD39DFD51446D6664227486,NT000343,5688967A719626DF7B4CD4ACEB99A647,08/20/2026 15:19:18,08/20/2026 15:19:18,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,VMA-2026-000021,5688967A719626DF7B4CD4ACEB99A647,QC Rework,,,"Requester called 08/20/2026. Asked: ""Is the Purple Heart, the Bronze Star, or both in this shipment?""
Advised: both lines are on the case, ""On Hold"" as of today.
Requester's comment, verbatim: ""Dad would have been 98 this year, please hurry.""",Engraving rework requested,,Yes,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,08/20/2026 15:19:18,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Ignatius Pardo/OU=CHPSID/O=TACOM,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM;[Admin]
8C910EC5C734ECA0F49563726AA10985,NT000344,B4596FA1D3BD800801AFFBE825B64828,03/10/2004 09:44:56,03/10/2004 09:44:56,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2004-000002,B4596FA1D3BD800801AFFBE825B64828,E-mail,Marcus Abernathy,,Requester e-mailed asking whether miniatures are included; advised full size only per authorization.,E-mail exchange with requester,,Yes,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,03/10/2004 09:44:56,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Ret Hamlin/OU=CHPSID/O=TACOM,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM;[Admin]
5DEA37FBAD2E78E5133F34EB00410752,NT000345,CBD77CC72C3874026ED761FFD0B8C03D,10/04/2023 07:05:32,10/04/2023 07:05:32,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,,VMA-2023-000002,CBD77CC72C3874026ED761FFD0B8C03D,Congressional Inquiry,,,Staffer from the member's district office requested status. Response due in 5 business days.,Congressional interest logged,10/13/2023,,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM,10/04/2023 07:05:32,[TACOM];[CSR];[Admin];[ReadOnlyAudit];LocalDomainServers;CN=Benedetta Kowalczyk/OU=CHPSID/O=TACOM,CN=Cletus Marchbanks/OU=CHPSID/O=TACOM;[Admin]
